ID,Description,Calories,Protein,TotalFat,Carbohydrate,Sodium,SaturatedFat,Cholesterol,Sugar,Calcium,Iron,Potassium,VitaminC,VitaminE,VitaminD
1,Baba ghanouj,150.0,3.0,8.0,15.0,91.5,0.5,0.0,2.5,1.1,4.5,1.1,2.8,0.7,0.6
2,Batata mahchi,250.0,3.0,8.0,15.0,69.5,1.0,0.0,1.0,1.8,18.0,5.0,2.5,1.1,1.1
3,Borgul bi banadoura,250.0,3.0,8.0,15.0,69.1,1.0,0.0,1.0,1.5,20.8,3.0,1.5,1.4,1.5
4,Chichbarak,250.0,15.0,15.0,5.0,68.1,4.5,65.0,1.0,1.7,18.7,4.8,2.3,0.7,2.8
5,Falafel,250.0,3.0,8.0,15.0,31.3,2.5,0.0,1.0,3.4,36.5,13.3,3.6,1.4,1.8
6,Fatayer sabanikh,250.0,3.0,8.0,15.0,45.0,1.0,0.0,1.0,2.4,27.2,5.3,1.6,0.9,5.0
7,Fattat Hommos,150.0,3.0,8.0,15.0,68.7,1.0,0.0,3.0,1.3,15.8,6.5,3.0,0.6,0.9
8,Fattoush,150.0,3.0,8.0,15.0,88.1,0.3,0.0,3.0,1.3,7.2,1.5,1.6,0.3,0.6
9,Foul moudamas,250.0,3.0,8.0,15.0,75.3,1.0,0.0,1.0,1.0,14.2,5.3,1.0,1.0,0.6
10,Hindbe bil zet,150.0,3.0,8.0,15.0,67.7,1.0,0.0,3.0,1.5,5.9,2.5,4.2,0.7,1.6
11,Hommos bi tahini,150.0,3.0,8.0,15.0,68.2,1.4,0.0,0.5,1.9,17.2,7.5,1.6,0.8,0.8
12,Kafta wa batata,250.0,15.0,15.0,5.0,79.3,5.0,50.0,1.2,1.5,7.0,8.8,1.1,1.2,4.1
13,Kebba bil sayniya,250.0,15.0,15.0,5.0,51.4,4.5,65.0,1.0,1.8,19.7,11.3,2.5,1.2,2.0
14,Koussa mahchi,250.0,3.0,8.0,15.0,71.6,1.0,0.0,1.0,1.4,20.3,3.8,0.4,1.2,1.3
15,Lahm bil ajin,250.0,3.0,8.0,15.0,44.6,1.0,0.0,1.0,1.5,37.1,11.2,1.5,0.5,1.9
16,Loubia bil zet,150.0,3.0,8.0,15.0,86.5,1.0,0.0,3.0,1.4,7.2,2.1,1.8,0.6,0.8
17,Malfouf mahchi,250.0,3.0,8.0,15.0,81.5,1.0,0.0,1.0,1.3,12.1,3.8,2.1,1.8,1.0
18,Moujadara,250.0,3.0,8.0,15.0,71.1,1.0,0.0,1.0,1.2,21.8,5.4,1.5,0.4,1.2
19,Moghrabia,250.0,3.0,8.0,15.0,72.8,1.0,0.0,1.0,1.0,15.6,6.7,1.2,0.4,0.9
20,Mousaka batinjan,150.0,3.0,8.0,15.0,70.6,1.0,0.0,3.0,1.1,14.8,3.2,2.0,0.6,1.0
21,Riz a dajaj,250.0,15.0,15.0,5.0,65.4,4.5,65.0,1.0,1.6,18.8,7.2,1.2,0.7,1.0
22,Riz bi lahma,250.0,15.0,15.0,5.0,63.0,4.5,65.0,1.0,1.7,23.0,7.5,1.0,0.4,1.3
23,Sayadia,250.0,3.0,8.0,15.0,64.2,1.0,0.0,1.0,0.9,22.1,6.5,0.4,0.8,1.3
24,Shawarma dajaj,250.0,15.0,15.0,5.0,58.6,3.0,60.0,0.5,2.4,1.1,29.7,2.2,1.4,1.6
25,Shawarma lahma,250.0,15.0,15.0,5.0,67.3,6.0,70.0,0.5,1.6,2.6,17.5,0.9,0.7,1.5
26,Tabboula,150.0,3.0,8.0,15.0,88.3,0.2,0.0,1.5,1.4,6.1,1.9,0.6,1.1,1.0
27,Warak enab,250.0,3.0,8.0,15.0,75.1,1.0,0.0,1.0,1.3,17.7,4.4,1.1,1.3,1.3
28,Yakhnat Bamia,150.0,3.0,8.0,15.0,73.5,1.0,0.0,3.0,1.3,17.0,3.9,1.4,1.1,1.5
29,Yakhnat Fassoulia,150.0,3.0,8.0,15.0,66.3,1.0,0.0,3.0,1.1,22.6,8.1,1.0,1.0,0.9
30,Yakhnat Mouloukhia,150.0,3.0,8.0,15.0,76.3,1.0,0.0,3.0,1.6,11.9,5.4,0.0,0.0,0.0
32,and iron content in,250.0,3.0,8.0,15.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
33,Yakhnat mouloukhia,150.0,3.0,8.0,15.0,76.3,1.0,0.0,3.0,1.6,11.9,5.4,0.0,0.0,0.0
34,Batata mahchi,250.0,3.0,8.0,15.0,69.5,1.0,0.0,1.0,1.8,18.0,5.0,2.5,1.1,1.1
35,Borgul bi banadoura,250.0,3.0,8.0,15.0,69.1,1.0,0.0,1.0,1.5,20.8,3.0,1.5,1.4,1.5
36,Kebba bil sayniya,250.0,15.0,15.0,5.0,51.4,4.5,65.0,1.0,1.8,19.7,11.3,2.5,1.2,2.0
37,Lahm bil ajin,250.0,3.0,8.0,15.0,44.6,1.0,0.0,1.0,1.5,37.1,11.2,1.5,0.5,1.9
38,Loubia bil zet,150.0,3.0,8.0,15.0,86.5,1.0,0.0,3.0,1.4,7.2,2.1,1.8,0.6,0.8
39,Sayadia,250.0,3.0,8.0,15.0,64.2,1.0,0.0,1.0,0.9,22.1,6.5,0.4,0.8,1.3
40,Shawarma dajaj,250.0,15.0,15.0,5.0,58.6,3.0,60.0,0.5,2.4,1.1,29.7,2.2,1.4,1.6
41,Shawarma lahma,250.0,15.0,15.0,5.0,67.3,6.0,70.0,0.5,1.6,2.6,17.5,0.9,0.7,1.5
42,Yakhnat Fassoulia,150.0,3.0,8.0,15.0,66.3,1.0,0.0,3.0,1.1,22.6,8.1,1.0,1.0,0.9
43,Baklava mixed,474.0,1.1,64.0,27.3,23.0,8.0,20.0,35.0,5.3,3.0,6.2,0.0,0.0,0.0
44,Baklava mixed light,478.0,1.0,61.9,28.7,0.0,8.0,20.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0
45,Barazik,553.0,1.3,49.0,42.1,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
46,Boundoukia,465.0,1.5,64.1,23.2,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
47,Daoukia,347.0,0.7,52.8,15.1,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
48,Foustoukia,446.0,1.8,59.7,18.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
49,Ghourayba,510.0,0.4,62.9,32.9,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
50,Halawa,538.0,1.7,45.7,41.0,0.0,5.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0
51,Halawa light,531.0,1.4,57.5,35.6,0.0,5.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0
52,Halawat El jiben,248.0,1.3,36.7,8.8,0.0,5.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0
53,Ish el bulbul,478.0,1.0,65.8,26.2,10.0,1.0,0.0,1.0,8.4,0.1,3.0,0.0,0.0,0.0
54,Kallaj kashta,215.0,0.8,33.0,9.7,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
55,Karabij joz maa crema,391.0,0.6,61.1,16.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
56,Katayef Kashta,260.0,0.8,40.5,10.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
57,Kounafa kashta bil kaak,262.0,0.9,42.2,8.7,0.0,8.0,25.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0
58,Kounafa bil jiben,279.0,0.6,40.4,13.2,0.0,12.0,45.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0
59,Maakroun wa moushabak,448.0,0.2,77.1,17.9,0.0,8.0,25.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0
60,Maamoul tamer,410.0,1.0,68.4,15.6,0.0,8.0,25.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0
61,Maamoul mad kashta,283.0,0.9,49.6,8.9,0.0,8.0,25.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0
62,Maamoul mad joz,443.0,0.8,58.8,25.0,25.0,8.0,25.0,35.0,5.3,4.0,6.2,0.0,0.0,0.0
63,Maamoul fostok,444.0,0.8,53.3,26.9,0.0,8.0,25.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0
64,Maamoul joz,433.0,0.6,66.2,18.3,0.0,8.0,25.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0
65,Madlouka,328.0,1.1,51.1,13.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
66,Mafrouka kashta,425.0,0.8,71.1,17.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
67,Moufattaka,332.0,0.7,59.2,10.1,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
68,Mouhallabiya,203.0,1.1,31.6,7.3,0.0,8.0,25.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0
69,Moushabak,250.0,3.0,8.0,15.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
70,Nammoura,376.0,0.4,75.4,8.8,0.0,8.0,25.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0
71,Osmaliya,271.0,1.3,27.0,17.9,0.0,8.0,25.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0
72,Riz bil halib,204.0,1.3,32.7,6.5,0.0,8.0,25.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0
73,Saniora,490.0,1.0,68.7,26.4,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
74,Sfouf,401.0,0.7,55.2,22.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
75,Shaaybiyat,298.0,0.5,39.1,14.7,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
76,Ward el sham,254.0,1.2,34.4,11.9,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
77,Znoud El sitt,307.0,0.3,41.0,17.8,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
78,Baklava mixed Light,478.0,1.0,61.9,28.7,0.0,8.0,20.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0
79,Halawa Light,531.0,1.4,57.5,35.6,0.0,5.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0
80,Halawat El Jiben,248.0,1.3,36.7,8.8,0.0,5.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0
81,Katayef kashta,260.0,0.8,40.5,10.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
82,Znoud El Sitt,307.0,0.3,41.0,17.8,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
83,Coffee,250.0,3.0,8.0,15.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
84,Mixed Nuts,250.0,3.0,8.0,15.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
85,Biscuits Chocolate,350.0,3.0,8.0,15.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
86,Biscuits Digestive,350.0,3.0,8.0,15.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
87,Breakfast Cereals,350.0,3.0,8.0,15.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
88,Butter,250.0,3.0,8.0,15.0,0.0,14.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
89,Butter Light,250.0,3.0,8.0,15.0,0.0,14.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
90,Chocolate Wafers,250.0,3.0,8.0,15.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
91,Chocolate wafers-,250.0,3.0,8.0,15.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
92,Chocolate with milk,250.0,3.0,8.0,15.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
93,Chocolate-Dark,250.0,3.0,8.0,15.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
94,Chocolate-White,250.0,3.0,8.0,15.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
95,Corn Oil,250.0,3.0,8.0,15.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
96,Cream Filled Biscuits,350.0,3.0,8.0,15.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
97,Hot Chocolate Powder,250.0,3.0,8.0,15.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
98,Instant Coffee (3 in 1),250.0,3.0,8.0,15.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
99,Chips Baked,250.0,3.0,8.0,15.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
100,Lays Chips Cheese,250.0,3.0,8.0,15.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
101,Olive Oil,250.0,3.0,8.0,15.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
102,Potato Chips,250.0,3.0,8.0,15.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
103,Potato Chips Light,250.0,3.0,8.0,15.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
104,Sunflower Oil,250.0,3.0,8.0,15.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
105,Tahina,250.0,3.0,8.0,15.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
106,Tuna Packed in Oil,250.0,15.0,15.0,5.0,0.0,4.5,65.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
107,Tuna Packed in Water,250.0,15.0,15.0,5.0,0.0,4.5,65.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
108,"GUAVAS,COMMON,RAW",68.0,2.55,0.95,14.32,2.0,0.272,0.0,8.92,18.0,0.26,417.0,228.3,0.73,0.0
109,"GUAVA SAUCE,COOKED",36.0,0.32,0.14,9.48,4.0,0.04,0.0,5.88,7.0,0.18,225.0,146.4,0.55,0.0
110,"LEMON PEEL,RAW",47.0,1.5,0.3,16.0,6.0,0.039,0.0,4.17,134.0,0.8,160.0,129.0,0.25,0.0
111,"LITCHIS,DRIED",277.0,3.8,1.2,70.7,3.0,0.27,0.0,66.1,33.0,1.7,1110.0,183.0,0.31,0.0
